ID,Nombre,Categoría,Descripción,Duración (min),Disponible
74,LABIO,Estética,Depilación con cera de la zona del labio superior. Tratamiento rápido y efectivo.,10,Si
48,CEJAS,Estética,Depilación y perfilado de cejas para realzar la mirada y armonizar el rostro.,15,Si
57,MEDIOS BRAZOS,Estética,Depilación con cera de los medios brazos desde el codo hasta la muñeca.,20,Si
56,QUITA ESMALTE PERMANENTE,Estética,Retirada profesional de esmalte permanente sin dañar la uña natural.,25,Si
44,MAQUILLAJE EXPRESS,Estética,Maquillaje rápido y natural para el día a día. Perfecto para eventos informales.,30,Si
45,BRAZOS COMPLETOS O PECHO,Estética,Depilación con cera de brazos completos o zona del pecho según necesidad.,30,Si
49,INGLES O AXILAS,Estética,Depilación con cera de zona de ingles o axilas. Piel suave y sin irritaciones.,30,Si
53,BRAZOS MEDIOS,Estética,Depilación con cera de medios brazos para una piel suave y sin vello.,30,Si
55,MASAJE CORPORAL (30MIN),Estética,Masaje relajante de 30 minutos que alivia tensiones y mejora la circulación.,30,Si
60,CERA MEDIAS PIERNAS,Estética,Depilación con cera de medias piernas desde rodilla hasta tobillo.,30,Si
61,"ABDOMEN,GLUTEOS, ESPALDA O PECHO",Estética,30
62,CERA MUSLOS,Estética,Depilación con cera de la zona de muslos completa.,30,Si
63,PUBIS COMPLETO,Estética,Depilación completa de la zona púbica con cera profesional.,30,Si
64,INGLES BRASILEÑAS,Estética,Depilación brasileña que deja la piel suave y sin irritaciones. Técnica profesional.,30,Si
68,LIMAR Y PINTAR PIES,Estética,Arreglo básico de pies con limado de uñas y aplicación de esmalte tradicional.,30,Si
72,MANICURA CABALLERO,Estética,Cuidado completo de manos masculinas con limado y acabado natural.,30,Si
73,LIMAR Y PINTAR MANOS,Estética,Arreglo básico de manos con limado de uñas y aplicación de esmalte tradicional.,30,Si
37,TINTE DE PESTAÑAS,Estética,Tinte profesional de pestañas para realzar la mirada sin necesidad de maquillaje diario.,40,Si
40,PERMANENTE DE PESTAÑAS,Estética,Permanente que curva y levanta las pestañas naturalmente para una mirada más abierta.,40,Si
52,LIMAR Y PINTAR MANOS PERMANENTE,Estética,Manicura con esmalte permanente de larga duración y acabado profesional.,40,Si
59,CERA ENTERAS,Estética,Depilación completa de piernas enteras con cera para piel suave y duradera.,40,Si
67,BIOTERAPIA PODAL,Estética,Tratamiento completo de pies con productos naturales que hidratan y regeneran la piel.,40,Si
69,LIMAR Y PINTAR PIES PERMANENTE,Estética,Pedicura con esmalte permanente de larga duración y acabado impecable.,40,Si
70,BIOTERAPIA DE MANOS,Estética,Tratamiento intensivo para manos que nutre e hidrata la piel en profundidad.,45,Si
35,MASAJE CORPRAL(60MIN),Estética,Masaje corporal completo de 60 minutos que relaja profundamente y mejora el bienestar.,60,Si
36,MAQUILLAJE,Estética,Maquillaje profesional completo para eventos especiales. Realza tu belleza natural.,60,Si
38,PEELING CORPORAL,Estética,Exfoliación corporal que elimina células muertas y renueva la piel dejándola suave y luminosa.,60,Si
43,BIOTERAPIA FACIAL,Estética,"Tratamiento facial con bioterapia que regenera y revitaliza la piel a nivel celular. Opciones: Vitalizadora, Sensitiva,60
46,HIGIENE DE ESPALDA,Estética,Limpieza profunda de espalda que elimina impurezas y previene imperfecciones cutáneas.,60,Si
54,BIOTERAPIA DE SENOS,Estética,Tratamiento específico para la zona del busto que tonifica y mejora la firmeza de la piel.,60,Si
66,BIOTERAPIA ESCULTOR COMPLETO,Estética,Tratamiento corporal escultor completo que reafirma y modela la silueta de forma natural.,60,Si
47,MAQUILLAJE NOVIA,Estética,Maquillaje nupcial profesional de larga duración. Tu look perfecto para el día más especial.,70,Si
42,BIOTERAPIA FACIAL+RADIOF. (15MIN),Estética,Bioterapia facial potenciada con 15 minutos de radiofrecuencia para mayor efecto tensor y rejuvenecedor.,75,Si
71,PEDICURA PERMANENTE CON BIOTERAPIA,Estética,Pedicura completa con esmalte permanente y tratamiento de bioterapia podal para pies perfectos.,75,Si
39,TINTE+PERMANENTE DE PESTAÑAS,Estética,Servicio completo que combina tinte y permanente de pestañas para una mirada impactante.,90,Si
41,BIOTERAPIA FACIAL+RADIOF. (30MIN),Estética,Bioterapia facial completa con 30 minutos de radiofrecuencia para resultados anti-edad visibles.,90,Si
50,MANICURA PERMANENTE+BIOTERAPIA,Estética,Manicura permanente completa con tratamiento de bioterapia de manos para nutrición profunda.,90,Si
51,BIOTERAPIA SCULTOR+RADIOF 30 min,Estética,Tratamiento escultor corporal potenciado con 30 minutos de radiofrecuencia para reafirmación intensa.,90,Si
58,PIERNAS PERFECTAS+PRESOTERAPIA(30MIN),Estética,Tratamiento integral para piernas con presoterapia que mejora circulación y reduce retención de líquidos.,90,Si
5,TRATAMIENTO PRECOLOR,Peluquería,Preparación protectora del cuero cabelludo antes de coloraciones. Minimiza irritaciones y optimiza la fijación del color.,5,Si
4,PERILLA,Peluquería,Arreglo y perfilado de perilla para un acabado pulido y definido.,10,Si
3,CORTE DE FLEQUILLO,Peluquería,Corte de flequillo para renovar tu look de forma rápida y sencilla.,15,Si
19,BARBA,Peluquería,Arreglo y perfilado profesional de barba para un estilo impecable.,15,Si
9,MECHAS LOCALIZADAS,Peluquería,Técnica de iluminación que aporta luminosidad y movimiento al cabello. Versiones extra para efectos más intensos y localizadas para retoques.,20,Si
12,CORTE BEBE,Peluquería,Corte de cabello para bebés con cuidado especial y ambiente relajado.,20,Si
2,AGUA TIERRA,Peluquería,Reconstruye la fibra capilar deteriorada restaurando las cutículas dañadas y favorece la transpiración del cuero cabelludo. Perfecto para cabellos finos y dañados.,25,Si
21,AGUA LLUVIA,Peluquería,Repara el cabello dañado o deshidratado y favorece la transpiración y relajación del cuero cabelludo. Ideal para cabellos secos o deshidratados.,25,Si
1,OLEO PIGMENTO,Peluquería,Coloración semi-permanente con aceites nutritivos que protege y da brillo intenso al cabello. Ideal para refrescar el color sin dañar la fibra capilar.,30,Si
6,INFOACTIVO FUERZA,Peluquería,"Vitalizador capilar interno que reactiva y aporta vitalidad al cabello, además de regular el exceso de grasa. Tratamiento revitalizante intensivo.",20.9
7,INFOACTIVO SENSITIVO,Peluquería,Relajante capilar que relaja y calma los casos de descamación y cuero cabelludo irritado. Ideal para pieles sensibles y reactivas.,30,Si
10,COLOR CABALLERO,Peluquería,Coloración específica para cabello masculino con productos que respetan el cuero cabelludo.,30,Si
27,CORTE NIÑA,Peluquería,Corte de cabello para niña con técnicas adaptadas y acabado profesional.,30,Si
32,CORTE NIÑO,Peluquería,Corte de cabello para niño con estilo actual y acabado cuidado.,30,Si
15,BARRO GOLD,Peluquería,Mascarilla capilar purificante con minerales que elimina impurezas y aporta nutrición profunda. Versiones extra y gold para cabellos más exigentes.,40,Si
17,OLEO EXTRA,Peluquería,Tratamiento intensivo con aceites esenciales para nutrición profunda y brillo excepcional. Versión potenciada del óleo pigmento.,40,Si
18,BARRO EXTRA,Peluquería,Mascarilla capilar purificante con minerales que elimina impurezas y aporta nutrición profunda. Versiones extra y gold para cabellos más exigentes.,40,Si
23,CORTAR,Peluquería,Servicio de corte de cabello profesional adaptado a tu estilo y necesidades.,40,Si
25,BARRO,Peluquería,Mascarilla capilar purificante con minerales que elimina impurezas y aporta nutrición profunda. Versiones extra y gold para cabellos más exigentes.,40,Si
31,PEINADO,Peluquería,Peinado profesional con secado que incluye ritual facial y acabado perfecto.,40,Si
33,CORTE CABALLERO,Peluquería,Corte de cabello masculino con técnica profesional y acabado personalizado.,40,Si
65,BARRO GOLD EXTRA,Peluquería,Mascarilla capilar purificante con minerales que elimina impurezas y aporta nutrición profunda. Versiones extra y gold para cabellos más exigentes.,40,Si
24,PEINADO LARGO,Peluquería,Peinado profesional para cabello largo con secado completo y acabado impecable.,45,Si
11,MOLDEADO,Peluquería,Alisado temporal que suaviza y moldea el cabello para un acabado sedoso y manejable. Versión extra para cabellos más rebeldes.,50,Si
22,CULTURA DE COLOR EXTRA,Peluquería,Coloración profesional completa que respeta la estructura capilar mientras aporta color vibrante y duradero.,50,Si
28,CULTURA DE COLOR,Peluquería,Coloración profesional completa que respeta la estructura capilar mientras aporta color vibrante y duradero.,50,Si
13,MECHAS,Peluquería,Técnica de iluminación que aporta luminosidad y movimiento al cabello. Versiones extra para efectos más intensos y localizadas para retoques.,60,Si
14,MECHAS EXTRAS,Peluquería,Técnica de iluminación que aporta luminosidad y movimiento al cabello. Versiones extra para efectos más intensos y localizadas para retoques.,60,Si
20,MOLDEADO EXTRA,Peluquería,Alisado temporal que suaviza y moldea el cabello para un acabado sedoso y manejable. Versión extra para cabellos más rebeldes.,70,Si
26,PEINADO EXTRA,Peluquería,Peinado profesional para cabello extra largo o elaborado con secado completo y acabado de lujo.,70,Si
29,PEINADO NIÑA COMUNIÓN,Peluquería,Peinado especial para Primera Comunión con acabado elegante y duradero para el gran día.,70,Si
30,SECADO,Peluquería,Secado básico profesional para dar forma y volumen al cabello.,5,Si
